truck_id,risk_score,downtime_per_mile,risk_tier,recommended_action
TRK00001,0.5597,0.000525804760700591,Medium,"Routine preventive maintenance; monitor monthly."
TRK00018,0.5515,0.000556451106412377,Medium,"Routine preventive maintenance; monitor monthly."
TRK00112,0.5291,0.00048319016447006,Medium,"Routine preventive maintenance; monitor monthly."
TRK00111,0.5276,0.000466214419232311,Medium,"Routine preventive maintenance; monitor monthly."
TRK00060,0.5253,0.000529470908817746,Medium,"Routine preventive maintenance; monitor monthly."
TRK00057,0.5251,0.000472889462088237,Medium,"Routine preventive maintenance; monitor monthly."
TRK00068,0.5184,0.000491431618102528,Medium,"Routine preventive maintenance; monitor monthly."
TRK00024,0.5168,0.000517861638821052,Medium,"Routine preventive maintenance; monitor monthly."
TRK00053,0.5084,0.000460776659013662,Medium,"Routine preventive maintenance; monitor monthly."
TRK00011,0.508,0.000503456953510359,Medium,"Routine preventive maintenance; monitor monthly."
TRK00091,0.5071,0.000455339550366536,Medium,"Routine preventive maintenance; monitor monthly."
TRK00065,0.4978,0.000450936047818488,Low,"No action needed; benchmark asset."
TRK00110,0.4967,0.000483053917554333,Low,"No action needed; benchmark asset."
TRK00010,0.4929,0.000471858281343642,Low,"No action needed; benchmark asset."
TRK00006,0.4876,0.000459660975588772,Low,"No action needed; benchmark asset."
TRK00090,0.4867,0.000448782399890374,Low,"No action needed; benchmark asset."
TRK00023,0.4861,0.00045662100456621,Low,"No action needed; benchmark asset."
TRK00082,0.4568,0.000454471333578939,Low,"No action needed; benchmark asset."
TRK00031,0.4552,0.000435304510340642,Low,"No action needed; benchmark asset."
TRK00045,0.4492,0.000459763453634884,Low,"No action needed; benchmark asset."
TRK00051,0.4481,0.000439689163448144,Low,"No action needed; benchmark asset."
TRK00079,0.4421,0.000478670560255291,Low,"No action needed; benchmark asset."
TRK00093,0.4396,0.000440793959640437,Low,"No action needed; benchmark asset."
TRK00089,0.4316,0.000475333429218934,Low,"No action needed; benchmark asset."
TRK00041,0.4228,0.000373717682537263,Low,"No action needed; benchmark asset."
TRK00039,0.421,0.000407541493138377,Low,"No action needed; benchmark asset."
TRK00025,0.4158,0.000416041193989332,Low,"No action needed; benchmark asset."
TRK00061,0.4121,0.000418246393176843,Low,"No action needed; benchmark asset."
TRK00048,0.4079,0.000431763969030263,Low,"No action needed; benchmark asset."
TRK00029,0.4026,0.000424369378146823,Low,"No action needed; benchmark asset."
TRK00096,0.3953,0.000421781998236229,Low,"No action needed; benchmark asset."
TRK00064,0.3804,0.000393408745672272,Low,"No action needed; benchmark asset."
TRK00080,0.3714,0.000397643152323185,Low,"No action needed; benchmark asset."
TRK00015,0.3685,0.000405667371506212,Low,"No action needed; benchmark asset."
TRK00009,0.3531,0.000398650556797973,Low,"No action needed; benchmark asset."
TRK00035,0.3432,0.00038458046646753,Low,"No action needed; benchmark asset."
TRK00004,0.3374,0.000368982556563453,Low,"No action needed; benchmark asset."
TRK00095,0.3262,0.000342970738260898,Low,"No action needed; benchmark asset."
TRK00043,0.3243,0.000369826236166523,Low,"No action needed; benchmark asset."
TRK00113,0.3174,0.000375514614580141,Low,"No action needed; benchmark asset."
TRK00092,0.3147,0.000327438780804053,Low,"No action needed; benchmark asset."
TRK00008,0.3063,0.0003725673205236,Low,"No action needed; benchmark asset."
TRK00012,0.3015,0.000335591236304396,Low,"No action needed; benchmark asset."
TRK00098,0.2976,0.00035201438953455,Low,"No action needed; benchmark asset."
TRK00114,0.2956,0.000355736256608966,Low,"No action needed; benchmark asset."
TRK00059,0.2912,0.00036984680123611,Low,"No action needed; benchmark asset."
TRK00086,0.2887,0.000325765009722532,Low,"No action needed; benchmark asset."
TRK00058,0.2853,0.000319377656188298,Low,"No action needed; benchmark asset."
TRK00074,0.2655,0.000353760866282707,Low,"No action needed; benchmark asset."
TRK00016,0.2598,0.00032391406162,Low,"No action needed; benchmark asset."
TRK00097,0.2559,0.000319451472672769,Low,"No action needed; benchmark asset."
TRK00101,0.243,0.000325760974898522,Low,"No action needed; benchmark asset."
TRK00007,0.2337,0.000310981375529648,Low,"No action needed; benchmark asset."
TRK00116,0.2152,0.000279384590970888,Low,"No action needed; benchmark asset."
TRK00076,0.2098,0.000303810323613851,Low,"No action needed; benchmark asset."
TRK00069,0.2039,0.000278201364074319,Low,"No action needed; benchmark asset."
TRK00084,0.1982,0.000278881266300872,Low,"No action needed; benchmark asset."
TRK00049,0.1705,0.000267959517452066,Low,"No action needed; benchmark asset."
TRK00107,0.1574,0.000245519732605121,Low,"No action needed; benchmark asset."
TRK00019,0.1476,0.00025143037854779,Low,"No action needed; benchmark asset."
TRK00036,0.1392,0.000268611884438009,Low,"No action needed; benchmark asset."
TRK00070,0.1366,0.000233191034005573,Low,"No action needed; benchmark asset."
TRK00083,0.0,0.000192910331324856,Low,"No action needed; benchmark asset."
