truck_id,make,model_year,acquisition_date,status,total_downtime_hours,total_maintenance_cost,maintenance_events,total_miles,trip_count,avg_mpg
TRK00106,Volvo,2017,2017-10-27,Active,719.7,57457.91,27,1374432.0,938,6.49429637526652
TRK00107,Mack,2017,2018-10-31,Active,341.2,31131.25,17,1389705.0,930,6.49198924731183
TRK00108,Volvo,2015,2017-08-29,Active,750.3,49829.9,30,1199508.0,858,6.49818181818182
TRK00109,Volvo,2015,2017-06-02,Maintenance,483.3,38929.71,19,,,
TRK00110,Peterbilt,2016,2018-03-18,Active,634.7,41633.69,26,1313932.0,911,6.50081229418222
TRK00111,Kenworth,2015,2015-04-20,Active,615.3,56532.69,28,1319779.0,929,6.48770721205597
TRK00112,Volvo,2016,2021-06-01,Active,635.9,55381.53,26,1316045.0,939,6.51231096911608
TRK00113,Mack,2015,2018-04-02,Active,475.4,34955.26,20,1265996.0,880,6.47743181818182
TRK00114,Volvo,2016,2021-04-07,Active,469.5,35187.3,19,1319798.0,908,6.48440528634361
TRK00115,Peterbilt,2015,2018-04-22,Active,767.9,52635.71,31,1341222.0,948,6.52195147679325
TRK00116,International,2019,2020-12-10,Active,366.2,39736.84,18,1310738.0,906,6.49932671081678
TRK00117,Peterbilt,2015,2015-09-30,Inactive,271.0,25579.03,15,,,
TRK00118,Freightliner,2015,2017-09-01,Inactive,917.3,71005.77,35,,,
TRK00119,Mack,2015,2018-10-26,Inactive,489.6,43409.1,24,,,
TRK00120,Volvo,2017,2019-03-06,Active,732.7,49438.39,26,1309585.0,891,6.48718294051627
